"Table: FAD, LAD, Lifespan and Family of Planktonic Foraminifera",,,,,,,,,,,,,
Globoturborotalita ouachitaensis,33.48,23.03,10.44,Globoturborotalita,Globoquadrinidae,M7-globular,E1-With Symbionts,,,,,,
Globoturborotalita rubescens,37.61,17.54,20.07,Globoturborotalita,Globigerinidae,M2-globular,E2-Without Symbionts,,,,,,
Globoturborotalita tenella,38.09,33.90,4.19,Globoturborotalita,Hantkeninidae,M10-tubulospinate,E2-Without Symbionts,,,,,,
Globoturborotalita woodi,32.10,3.30,28.80,Globoturborotalita,Globoquadrinidae,M7-globular,E1-With Symbionts,,,,,,
Guembelitrioides nuttalli,42.78,31.90,10.89,Guembelitrioides,Truncorotaloididae,"M17-muricate, acarininiform",E3-thermocline,,,,,,
Hantkenina alabamensis,1.95,0.00,1.95,Hantkenina,Globorotaliidae,"M15-globorotaliform, anguloconical",E2-Without Symbionts,,,,,,
Hantkenina australis,2.58,0.56,2.01,Hantkenina,Globigerinidae,M2-globular,E3-thermocline,,,,,,
Hantkenina compressa,1.91,0.38,1.53,Hantkenina,Globorotaliidae,"M15-globorotaliform, anguloconical",E2-Without Symbionts,,,,,,
Hantkenina dumblei,2.48,0.00,2.48,Hantkenina,Globigerinidae,M2-globular,E3-thermocline,,,,,,
Hantkenina lehneri,2.67,0.00,2.67,Hantkenina,Globorotaliidae,M7-globular,E3-thermocline,,,,,,
Hantkenina liebusi,3.35,0.61,2.74,Hantkenina,Globorotaliidae,"M15-globorotaliform, anguloconical",E4-sub-thermocline,,,,,,
Hantkenina mexicana,3.52,1.80,1.72,Hantkenina,Globorotaliidae,"M14-globorotaliform, keeled",E4-sub-thermocline,,,,,,
Hantkenina nanggulanensis,2.00,0.00,2.00,Hantkenina,Globorotaliidae,"M15-globorotaliform, anguloconical",E2-Without Symbionts,,,,,,
Hantkenina primitiva,2.09,0.00,2.09,Hantkenina,Globorotaliidae,"M16-globorotaliform, non-keeled",E3-thermocline,,,,,,
Hantkenina singanoae,3.33,1.88,1.45,Hantkenina,Globigerinidae,M3-globular with supplementary apertures,E3-thermocline,,,,,,
Hedbergella [ancestor],0.01,0.00,0.01,Hedbergella,Globigerinidae,M5-clavate,-,,,,,,
Hedbergella holmdelensis,62.29,60.42,1.87,Hedbergella,Truncorotaloididae,"M18-muricocarinate, keeled",E3-thermocline,,,,,,
Hedbergella monmouthensis,62.45,60.52,1.93,Hedbergella,Hedbergellidae,"M13-turborotaliform, non-keeled",E3-thermocline,,,,,,
Hirsutella bermudezi,15.16,9.25,5.90,Hirsutella,Globorotaliidae,"M16-globorotaliform, non-keeled",E4-sub-thermocline,,,,,,
Hirsutella challengeri,14.79,0.00,14.79,Hirsutella,Globorotaliidae,"M14-globorotaliform, keeled",E4-sub-thermocline,,,,,,
Hirsutella cibaoensis,14.94,0.00,14.94,Hirsutella,Globigerinidae,M4-spherical,E4-sub-thermocline,,,,,,
Hirsutella evoluta,15.73,12.40,3.33,Hirsutella,Globigerinidae,M5-clavate,E4-sub-thermocline,,,,,,
Hirsutella gigantea,9.44,4.49,4.95,Hirsutella,Globorotaliidae,"M16-globorotaliform, non-keeled",E4-sub-thermocline,,,,,,
Hirsutella hirsuta,13.14,0.00,13.14,Hirsutella,Globorotaliidae,"M14-globorotaliform, keeled",E4-sub-thermocline,,,,,,
Hirsutella juanai,15.10,0.00,15.10,Hirsutella,Globigerinidae,M3-globular with supplementary apertures,E4-sub-thermocline,,,,,,
Hirsutella margaritae,9.96,5.94,4.01,Hirsutella,Globorotaliidae,"M14-globorotaliform, keeled",E4-sub-thermocline,,,,,,
Hirsutella praemargaritae,9.83,1.80,8.03,Hirsutella,Globorotaliidae,M7-globular,E4-sub-thermocline,,,,,,
Hirsutella praescitula,15.10,0.00,15.10,Hirsutella,Globigerinidae,M4-spherical,E4-sub-thermocline,,,,,,
Hirsutella primitiva,10.64,2.39,8.25,Hirsutella,Globorotaliidae,"M14-globorotaliform, keeled",E4-sub-thermocline,,,,,,
Hirsutella scitula,9.24,5.32,3.92,Hirsutella,Globigerinidae,M3-globular with supplementary apertures,E4-sub-thermocline,,,,,,
Hirsutella theyeri,9.69,4.81,4.88,Hirsutella,Globorotaliidae,"M16-globorotaliform, non-keeled",E4-sub-thermocline,,,,,,
Igorina albeari,3.60,0.00,3.60,Igorina,Globigerinidae,M2-globular,E1-With Symbionts,,,,,,
Igorina anapetes,56.82,50.20,6.61,Igorina,Truncorotaloididae,"M17-muricate, acarininiform",E1-With Symbionts,,,,,,
Igorina broedermanni,56.53,54.61,1.92,Igorina,Hedbergellidae,"M13-turborotaliform, non-keeled",E1-With Symbionts,,,,,,
Igorina lodoensis,56.53,45.72,10.81,Igorina,Truncorotaloididae,"M17-muricate, acarininiform",E1-With Symbionts,,,,,,
Igorina pusilla,56.82,50.32,6.50,Igorina,Truncorotaloididae,M7-globular,E1-With Symbionts,,,,,,
Igorina tadjikistanensis,56.53,50.79,5.74,Igorina,Truncorotaloididae,"M17-muricate, acarininiform",E1-With Symbionts,,,,,,
Menardella archeomenardii,7.17,0.00,7.17,Menardella,Globorotaliidae,M7-globular,E3-thermocline,,,,,,
Menardella exilis,7.37,2.30,5.07,Menardella,Globigerinidae,M7-globular,E3-thermocline,,,,,,
Menardella fimbriata,8.93,5.32,3.61,Menardella,Globigerinidae,M3-globular with supplementary apertures,E3-thermocline,,,,,,
Menardella limbata,5.83,0.00,5.83,Menardella,Globorotaliidae,"M15-globorotaliform, anguloconical",E3-thermocline,,,,,,
Menardella menardii,5.72,5.02,0.70,Menardella,Globorotaliidae,"M15-globorotaliform, anguloconical",E3-thermocline,,,,,,
Menardella miocenica,8.48,5.83,2.65,Menardella,Globorotaliidae,"M14-globorotaliform, keeled",E3-thermocline,,,,,,
Menardella multicamerata,6.73,2.98,3.75,Menardella,Globorotaliidae,"M14-globorotaliform, keeled",E3-thermocline,,,,,,
Menardella pertenuis,7.77,2.30,5.47,Menardella,Globorotaliidae,"M14-globorotaliform, keeled",E3-thermocline,,,,,,
Menardella praemenardii,8.56,1.60,6.96,Menardella,Globorotaliidae,M7-globular,E3-thermocline,,,,,,
Menardella pseudomiocenica,6.14,5.59,0.55,Menardella,Globorotaliidae,"M14-globorotaliform, keeled",E3-thermocline,,,,,,
Morozovella acuta,26.48,3.87,22.61,Morozovella,Globoquadrinidae,M7-globular,E1-With Symbionts,,,,,,
Morozovella acutispira,26.70,10.21,16.50,Morozovella,Globoquadrinidae,M7-globular,E1-With Symbionts,,,,,,
Morozovella aequa,24.86,0.00,24.86,Morozovella,Globigerinidae,M1-flat,E1-With Symbionts,,,,,,
Morozovella allisonensis,29.18,20.94,8.24,Morozovella,Globigerinidae,M2-globular,E1-With Symbionts,,,,,,
Morozovella angulata,27.68,10.46,17.22,Morozovella,Globigerinidae,M2-globular,E1-With Symbionts,,,,,,
Morozovella apanthesma,25.21,22.96,2.25,Morozovella,Globigerinidae,M6-planispiral,E1-With Symbionts,,,,,,
Morozovella aragonensis,29.91,23.55,6.36,Morozovella,Globoquadrinidae,M7-globular,E1-With Symbionts,,,,,,
Morozovella caucasica,30.28,10.46,19.82,Morozovella,Globigerinidae,M2-globular,E1-With Symbionts,,,,,,
Morozovella conicotruncata,27.26,16.98,10.28,Morozovella,Globigerinidae,M2-globular,E1-With Symbionts,,,,,,
Morozovella crater,29.18,10.46,18.72,Morozovella,Globigerinidae,M6-planispiral,E1-With Symbionts,,,,,,
Morozovella edgari,31.29,22.90,8.39,Morozovella,Globigerinidae,M2-globular,E1-With Symbionts,,,,,,
Morozovella formosa,30.68,26.93,3.75,Morozovella,Globigerinidae,M2-globular,E1-With Symbionts,,,,,,
Morozovella gracilis,25.91,22.96,2.95,Morozovella,Globigerinidae,M6-planispiral,E1-With Symbionts,,,,,,
Morozovella lensiformis,30.68,2.30,28.38,Morozovella,Globigerinidae,M2-globular,E1-With Symbionts,,,,,,
Morozovella marginodentata,26.02,19.30,6.72,Morozovella,Globigerinidae,M3-globular with supplementary apertures,E1-With Symbionts,,,,,,
Morozovella occlusa,25.91,2.09,23.82,Morozovella,Globigerinidae,M2-globular,E1-With Symbionts,,,,,,
Morozovella pasionensis,25.31,19.09,6.22,Morozovella,Globoquadrinidae,M7-globular,E1-With Symbionts,,,,,,
Morozovella praeangulata,29.17,4.20,24.97,Morozovella,Globigerinidae,M5-clavate,E1-With Symbionts,,,,,,
Morozovella subbotinae,25.21,22.69,2.52,Morozovella,Globigerinidae,"M16-globorotaliform, non-keeled",E1-With Symbionts,,,,,,
Morozovella velascoensis,30.41,16.34,14.07,Morozovella,Globigerinidae,M2-globular,E1-With Symbionts,,,,,,
Morozovelloides bandyi,21.12,16.38,4.74,Morozovelloides,Globigerinidae,M3-globular with supplementary apertures,E1-With Symbionts,,,,,,
Morozovelloides coronatus,30.55,15.55,15.00,Morozovelloides,Globigerinidae,M2-globular,E1-With Symbionts,,,,,,
Morozovelloides crassatus,17.54,0.00,17.54,Morozovelloides,Globigerinidae,M2-globular,E1-With Symbionts,,,,,,
Morozovelloides lehneri,21.96,0.00,21.96,Morozovelloides,Globigerinidae,M3-globular with supplementary apertures,E1-With Symbionts,,,,,,
Neogloboquadrina acostaensis,61.33,57.56,3.77,Neogloboquadrina,Truncorotaloididae,"M12-turborotaliform, keeled",E3-thermocline,,,,,,
Neogloboquadrina continuosa,60.73,57.10,3.63,Neogloboquadrina,Hedbergellidae,"M12-turborotaliform, keeled",E3-thermocline,,,,,,
Neogloboquadrina dutertrei,61.33,55.20,6.13,Neogloboquadrina,Truncorotaloididae,"M19-muricocarinate, anguloconical",E3-thermocline,,,,,,
Neogloboquadrina humerosa,61.54,55.49,6.05,Neogloboquadrina,Truncorotaloididae,"M18-muricocarinate, keeled",E3-thermocline,,,,,,
Neogloboquadrina pachyderma,66.02,63.76,2.26,Neogloboquadrina,Hedbergellidae,"M13-turborotaliform, non-keeled",E5-high-latitude,,,,,,
Orbulina suturalis,54.61,50.20,4.41,Orbulina,Truncorotaloididae,"M17-muricate, acarininiform",E3-thermocline,,,,,,
Orbulina universa,54.61,50.44,4.18,Orbulina,Truncorotaloididae,"M19-muricocarinate, anguloconical",E4-sub-thermocline,,,,,,
Orbulinoides beckmanni,54.61,50.20,4.41,Orbulinoides,Truncorotaloididae,"M17-muricate, acarininiform",E1-With Symbionts,,,,,,
Paragloborotalia acrostoma,40.98,33.90,7.08,Paragloborotalia,Hantkeninidae,M10-tubulospinate,E3-thermocline,,,,,,
Paragloborotalia bella,42.09,35.89,6.20,Paragloborotalia,Truncorotaloididae,"M17-muricate, acarininiform",E3-thermocline,,,,,,
Paragloborotalia griffinoides,43.70,39.67,4.02,Paragloborotalia,Hantkeninidae,M10-tubulospinate,E4-sub-thermocline,,,,,,
Paragloborotalia incognita,42.67,23.03,19.64,Paragloborotalia,Globigerinidae,M2-globular,E3-thermocline,,,,,,
Paragloborotalia kugleri,14.24,0.00,14.24,Paragloborotalia,Globigerinidae,M2-globular,E1-With Symbionts,,,,,,
Paragloborotalia mayeri,39.07,26.59,12.48,Paragloborotalia,Globigerinidae,M2-globular,E3-thermocline,,,,,,
Paragloborotalia nana,38.48,35.89,2.59,Paragloborotalia,Globigerinidae,M3-globular with supplementary apertures,E3-thermocline,,,,,,
Paragloborotalia opima,42.78,40.23,2.56,Paragloborotalia,Truncorotaloididae,"M17-muricate, acarininiform",E3-thermocline,,,,,,
Paragloborotalia pseudokugleri,14.08,4.53,9.55,Paragloborotalia,Globigerinidae,M7-globular,E1-With Symbionts,,,,,,
Paragloborotalia semivera,39.17,30.28,8.89,Paragloborotalia,Hedbergellidae,"M13-turborotaliform, non-keeled",E3-thermocline,,,,,,
Paragloborotalia siakensis,38.98,34.68,4.30,Paragloborotalia,Globigerinidae,M2-globular,E3-thermocline,,,,,,
Parasubbotina aff_pseudobulloides,46.32,40.40,5.92,Parasubbotina,Truncorotaloididae,"M17-muricate, acarininiform",E4-sub-thermocline,,,,,,
Parasubbotina eoclava,46.72,42.90,3.82,Parasubbotina,Hantkeninidae,M6-planispiral,E6-upwelling/high,,,,,,
Parasubbotina griffinae,46.57,42.90,3.67,Parasubbotina,Hantkeninidae,M6-planispiral,E6-upwelling/high,,,,,,
Parasubbotina inaequispira,46.57,32.21,14.36,Parasubbotina,Globigerinidae,M2-globular,E6-upwelling/high,,,,,,
Parasubbotina prebetica,46.82,15.10,31.72,Parasubbotina,Globigerinidae,M2-globular,E6-upwelling/high,,,,,,
Parasubbotina pseudobulloides,45.72,41.89,3.83,Parasubbotina,Globigerinidae,M2-globular,E4-sub-thermocline,,,,,,
Parasubbotina pseudowilsoni,41.89,29.91,11.98,Parasubbotina,Globigerinidae,M2-globular,E3-thermocline,,,,,,
Parasubbotina varianta,38.58,34.03,4.55,Parasubbotina,Hedbergellidae,"M12-turborotaliform, keeled",E3-thermocline,,,,,,
Parasubbotina variospira,43.46,38.98,4.49,Parasubbotina,Hantkeninidae,M10-tubulospinate,E3-thermocline,,,,,,
Planoglobanomalina pseudoalgeriana,70.92,66.02,4.90,Planoglobanomalina,Hedbergellidae,M7-globular,E2-Without Symbionts,,,,,,
Planorotalites capdevilensis,22.96,21.12,1.84,Planorotalites,Globigerinidae,"M16-globorotaliform, non-keeled",E2-Without Symbionts,,,,,,
Planorotalites pseudoscitula,22.96,15.10,7.86,Planorotalites,Globigerinidae,M2-globular,E2-Without Symbionts,,,,,,
Praemurica inconstans,57.79,50.67,7.12,Praemurica,Truncorotaloididae,"M18-muricocarinate, keeled",E2-Without Symbionts,,,,,,
Praemurica lozanoi,57.10,45.72,11.38,Praemurica,Truncorotaloididae,"M17-muricate, acarininiform",E2-Without Symbionts,,,,,,
Praemurica pseudoinconstans,57.79,55.78,2.01,Praemurica,Hedbergellidae,"M13-turborotaliform, non-keeled",E2-Without Symbionts,,,,,,
Praemurica taurica,57.79,49.80,8.00,Praemurica,Truncorotaloididae,"M17-muricate, acarininiform",E2-Without Symbionts,,,,,,
Praemurica uncinata,58.30,44.55,13.75,Praemurica,Globigerinidae,M2-globular,E2-Without Symbionts,,,,,,
Praeorbulina circularis,54.12,43.46,10.65,Praeorbulina,Truncorotaloididae,"M19-muricocarinate, anguloconical",E1-With Symbionts,,,,,,
Praeorbulina curva,52.54,43.23,9.31,Praeorbulina,Truncorotaloididae,"M19-muricocarinate, anguloconical",E1-With Symbionts,,,,,,
Praeorbulina glomerosa,53.82,46.32,7.50,Praeorbulina,Truncorotaloididae,"M17-muricate, acarininiform",E1-With Symbionts,,,,,,
Praeorbulina sicanus,52.54,46.32,6.22,Praeorbulina,Truncorotaloididae,"M17-muricate, acarininiform",E1-With Symbionts,,,,,,
Protentella nicobarensis,55.81,55.75,0.06,Protentella,Truncorotaloididae,"M17-muricate, acarininiform",E6-upwelling/high,,,,,,
Protentella prolixa,55.96,55.75,0.21,Protentella,Truncorotaloididae,"M18-muricocarinate, keeled",E6-upwelling/high,,,,,,
Protentelloides dalhousiei,56.25,53.03,3.21,Protentelloides,Globigerinidae,M2-globular,E6-upwelling/high,,,,,,
Protentelloides primitiva,56.25,42.78,13.46,Protentelloides,Globigerinidae,M2-globular,E6-upwelling/high,,,,,,
Pseudoglobigerinella bolivariana,55.96,44.78,11.18,Pseudoglobigerinella,Globigerinidae,M2-globular,E6-upwelling/high,,,,,,
Pseudohastigerina micra,66.03,65.77,0.26,Pseudohastigerina,Globigerinidae,M2-globular,E2-Without Symbionts,,,,,,
Pseudohastigerina naguewichiensis,71.75,70.14,1.61,Pseudohastigerina,Hedbergellidae,-,E2-Without Symbionts,,,,,,
Pseudohastigerina sharkriverensis,69.91,66.02,3.89,Pseudohastigerina,Hedbergellidae,M7-globular,E2-Without Symbionts,,,,,,
Pseudohastigerina wilcoxensis,66.04,64.58,1.46,Pseudohastigerina,Globigerinidae,M2-globular,E2-Without Symbionts,,,,,,
Pulleniatina finalis,62.67,55.89,6.78,Pulleniatina,Hedbergellidae,"M13-turborotaliform, non-keeled",E3-thermocline,,,,,,
Pulleniatina obliquiloculata,61.97,60.12,1.85,Pulleniatina,Truncorotaloididae,"M17-muricate, acarininiform",E3-thermocline,,,,,,
Pulleniatina praecursor,62.29,60.52,1.77,Pulleniatina,Globigerinidae,M2-globular,E3-thermocline,,,,,,
Pulleniatina praespectabilis,63.90,62.08,1.82,Pulleniatina,Hedbergellidae,"M13-turborotaliform, non-keeled",E3-thermocline,,,,,,
Pulleniatina primalis,62.49,55.20,7.29,Pulleniatina,Globigerinidae,M2-globular,E3-thermocline,,,,,,
Pulleniatina spectabilis,66.02,63.93,2.09,Pulleniatina,Truncorotaloididae,M7-globular,E3-thermocline,,,,,,
Sphaeroidinella dehiscens,62.13,42.56,19.57,Sphaeroidinella,Truncorotaloididae,M7-globular,E3-thermocline,,,,,,
Sphaeroidinellopsis disjuncta,61.86,55.96,5.90,Sphaeroidinellopsis,Truncorotaloididae,M7-globular,E3-thermocline,,,,,,
Sphaeroidinellopsis kochi,61.13,54.31,6.82,Sphaeroidinellopsis,Hedbergellidae,"M13-turborotaliform, non-keeled",E3-thermocline,,,,,,
Sphaeroidinellopsis paenedehiscens,62.29,59.81,2.48,Sphaeroidinellopsis,Truncorotaloididae,"M18-muricocarinate, keeled",E3-thermocline,,,,,,
Sphaeroidinellopsis seminulina,60.73,57.79,2.94,Sphaeroidinellopsis,Truncorotaloididae,"M18-muricocarinate, keeled",E3-thermocline,,,,,,
Subbotina angiporoides,40.31,34.68,5.63,Subbotina,Globigerinidae,M4-spherical,E3-thermocline,,,,,,
Subbotina cancellata,42.36,38.19,4.17,Subbotina,Truncorotaloididae,"M17-muricate, acarininiform",E3-thermocline,,,,,,
Subbotina corpulenta,39.77,33.90,5.87,Subbotina,Hantkeninidae,M10-tubulospinate,E3-thermocline,,,,,,
Subbotina crociapertura,45.25,37.99,7.26,Subbotina,Truncorotaloididae,"M17-muricate, acarininiform",E4-sub-thermocline,,,,,,
Subbotina eocaena,43.85,35.99,7.86,Subbotina,Globigerinidae,M1-flat,E4-sub-thermocline,,,,,,
Subbotina gortanii,43.94,43.85,0.09,Subbotina,Hantkeninidae,M10-tubulospinate,E4-sub-thermocline,,,,,,
Subbotina hagni,40.23,34.68,5.55,Subbotina,Globigerinidae,M3-globular with supplementary apertures,E3-thermocline,,,,,,
Subbotina hornibrooki,43.39,34.68,8.71,Subbotina,Globigerinidae,M3-globular with supplementary apertures,E3-thermocline,,,,,,
Subbotina jacksonensis,40.65,37.23,3.42,Subbotina,Hedbergellidae,M7-globular,E3-thermocline,,,,,,
Subbotina linaperta,38.98,26.59,12.38,Subbotina,Globoquadrinidae,M7-globular,E3-thermocline,,,,,,
Subbotina patagonica,43.86,43.39,0.47,Subbotina,Hantkeninidae,M10-tubulospinate,E4-sub-thermocline,,,,,,
Subbotina roesnaesensis,39.97,33.90,6.07,Subbotina,Hantkeninidae,M10-tubulospinate,E3-thermocline,,,,,,
Subbotina senni,46.54,42.27,4.27,Subbotina,Hantkeninidae,M6-planispiral,E5-high-latitude,,,,,,
Subbotina sp1,43.47,41.15,2.33,Subbotina,Hantkeninidae,M10-tubulospinate,E3-thermocline,,,,,,
Subbotina sp2,41.89,38.09,3.80,Subbotina,Hantkeninidae,M10-tubulospinate,E3-thermocline,,,,,,
Subbotina triangularis,36.08,21.66,14.42,Subbotina,Globigerinidae,M1-flat,E2-Without Symbionts,,,,,,
Subbotina triloculinoides,41.48,34.03,7.45,Subbotina,Hedbergellidae,"M15-globorotaliform, anguloconical",E3-thermocline,,,,,,
Subbotina trivialis,43.12,22.96,20.16,Subbotina,Globigerinidae,M2-globular,E3-thermocline,,,,,,
Subbotina utilisindex,45.30,39.57,5.73,Subbotina,Globigerinidae,M3-globular with supplementary apertures,E4-sub-thermocline,,,,,,
Subbotina velascoensis,42.00,34.93,7.07,Subbotina,Hedbergellidae,M7-globular,E3-thermocline,,,,,,
Subbotina yeguaensis,43.85,39.77,4.08,Subbotina,Globigerinidae,M3-globular with supplementary apertures,E4-sub-thermocline,,,,,,
Truncorotalia cavernula,14.04,13.68,0.36,Truncorotalia,Globorotaliidae,"M13-turborotaliform, non-keeled",E4-sub-thermocline,,,,,,
Truncorotalia crassaconica,14.08,13.13,0.95,Truncorotalia,Globorotaliidae,"M14-globorotaliform, keeled",E4-sub-thermocline,,,,,,
Truncorotalia crassaformis,11.49,2.75,8.74,Truncorotalia,Globigerinidae,M2-globular,E4-sub-thermocline,,,,,,
Truncorotalia crassula,12.40,0.80,11.60,Truncorotalia,Globigerinidae,M5-clavate,E4-sub-thermocline,,,,,,
Truncorotalia excelsa,13.75,9.09,4.67,Truncorotalia,Globorotaliidae,"M13-turborotaliform, non-keeled",E4-sub-thermocline,,,,,,
Truncorotalia hessi,13.84,13.56,0.27,Truncorotalia,Globorotaliidae,"M12-turborotaliform, keeled",E4-sub-thermocline,,,,,,
Truncorotalia oceanica,11.63,4.37,7.26,Truncorotalia,Globigerinidae,M2-globular,E4-sub-thermocline,,,,,,
Truncorotalia pachytheca,13.79,6.96,6.83,Truncorotalia,Globorotaliidae,"M13-turborotaliform, non-keeled",E4-sub-thermocline,,,,,,
Truncorotalia ronda,13.36,2.39,10.97,Truncorotalia,Globigerinidae,M3-globular with supplementary apertures,E4-sub-thermocline,,,,,,
Truncorotalia tenuitheca,13.64,11.79,1.85,Truncorotalia,Globorotaliidae,"M12-turborotaliform, keeled",E4-sub-thermocline,,,,,,
Truncorotalia tosaensis,13.36,0.00,13.36,Truncorotalia,Globigerinidae,M6-planispiral,E4-sub-thermocline,,,,,,
Truncorotalia truncatulinoides,13.68,11.79,1.89,Truncorotalia,Globorotaliidae,"M12-turborotaliform, keeled",E4-sub-thermocline,,,,,,
Truncorotalia viola,13.56,11.79,1.77,Truncorotalia,Globorotaliidae,"M12-turborotaliform, keeled",E4-sub-thermocline,,,,,,
Turborotalia altispiroides,57.56,51.17,6.39,Turborotalia,Truncorotaloididae,"M17-muricate, acarininiform",E2-Without Symbionts,,,,,,
Turborotalia ampliapertura,57.56,50.44,7.13,Turborotalia,Hedbergellidae,"M13-turborotaliform, non-keeled",E2-Without Symbionts,,,,,,
Turborotalia cerroazulensis,10.80,0.00,10.80,Turborotalia,Globorotaliidae,M7-globular,E2-Without Symbionts,,,,,,
Turborotalia cocoaensis,3.77,2.39,1.38,Turborotalia,Globorotaliidae,"M14-globorotaliform, keeled",E3-thermocline,,,,,,
Turborotalia cunialensis,3.73,1.47,2.27,Turborotalia,Globorotaliidae,"M15-globorotaliform, anguloconical",E2-Without Symbionts,,,,,,
Turborotalia euapertura,65.96,62.56,3.39,Turborotalia,Globigerinidae,M2-globular,E4-sub-thermocline,,,,,,
Turborotalia frontosa,65.82,62.52,3.30,Turborotalia,Truncorotaloididae,M7-globular,E4-sub-thermocline,,,,,,
Turborotalia increbescens,4.45,2.09,2.36,Turborotalia,Globorotaliidae,"M14-globorotaliform, keeled",E2-Without Symbionts,,,,,,
Turborotalia pomeroli,57.10,50.67,6.43,Turborotalia,Truncorotaloididae,"M18-muricocarinate, keeled",E2-Without Symbionts,,,,,,
Turborotalia possagnoensis,57.79,48.31,9.48,Turborotalia,Truncorotaloididae,"M17-muricate, acarininiform",E2-Without Symbionts,,,,,,
Turborotalita carcoselleensis,0.28,0.00,0.28,Turborotalita,Globigerinidae,M5-clavate,E2-Without Symbionts,,,,,,
Turborotalita clarkei,1.69,0.00,1.69,Turborotalita,Globigerinidae,M1-flat,E2-Without Symbionts,,,,,,
Turborotalita cristata,0.89,0.00,0.89,Turborotalita,Globorotaliidae,"M15-globorotaliform, anguloconical",E2-Without Symbionts,,,,,,
Turborotalita humilis,0.40,0.06,0.34,Turborotalita,Globorotaliidae,"M14-globorotaliform, keeled",E2-Without Symbionts,,,,,,
Turborotalita praequinqueloba,0.19,0.00,0.19,Turborotalita,Globorotaliidae,"M14-globorotaliform, keeled",E2-Without Symbionts,,,,,,
Turborotalita quinqueloba,1.91,0.00,1.91,Turborotalita,Globorotaliidae,"M15-globorotaliform, anguloconical",E5-high-latitude,,,,,,